"","id","text","lang","author_id","created_at","clean_text"
"53","1581340241218019328","President Museveni: Ebola, as of now, is highly infectious and deadly. It greatly affects the economy and tourism industry. If not adequately controlled, Ebola might spread passed Uganda.

#M7Address https://t.co/KhLVRxRZhd","en","1130437626337648640","2022-10-15T17:44:28.000Z","president museveni ebola as of now is highly infectious and deadly it greatly affects the economy and tourism industry if not adequately controlled ebola might spread passed uganda  maddress"
"54","1581340221345787904","M7 dismisses prayers as a healing tool in the fight against Ebola, ""they're no different from the other ones (witch doctors)""
#M7Address","en","734511258729361408","2022-10-15T17:44:23.000Z","m dismisses prayers as a healing tool in the fight against ebola theyre no different from the other ones witch doctors maddress"
"55","1581340194426343425","President Museveni: Ebola, as of now, is highly infectious and deadly. It greatly affects the economy and tourism industry. If not adequately controlled, Ebola might spread passed Uganda.

#M7Address https://t.co/VQiZzADGh0","en","1548481578556276741","2022-10-15T17:44:16.000Z","president museveni ebola as of now is highly infectious and deadly it greatly affects the economy and tourism industry if not adequately controlled ebola might spread passed uganda  maddress"
"56","1581340172863488000","The Directives from the president to contain Ebola in the Country.
1. Movements into and out of Mubende and Kasanda Districts are prohibited.
2. Movement from Kasanda to Mubende and vice versa is prohibited.  @KagutaMuseveni 
#M7Address","en","823873314","2022-10-15T17:44:11.000Z","the directives from the president to contain ebola in the country  movements into and out of mubende and kasanda districts are prohibited  movement from kasanda to mubende and vice versa is prohibited maddress"
"57","1581340157114220544","President Museveni has made this directive in  an effort to stop the spread of Ebola. #NTVNews #M7Address","en","109220563","2022-10-15T17:44:07.000Z","president museveni has made this directive inan effo to stop the spread of ebola ntvnews maddress"
"58","1581340143176122368","President Museveni: Ebola, as of now, is highly infectious and deadly. It greatly affects the economy and tourism industry. If not adequately controlled, Ebola might spread passed Uganda.

#M7Address https://t.co/WBDRYnGYKx","en","1296781235054940160","2022-10-15T17:44:04.000Z","president museveni ebola as of now is highly infectious and deadly it greatly affects the economy and tourism industry if not adequately controlled ebola might spread passed uganda  maddress"
"59","1581340141318438912","I can smell curfew
#musevenionevd #ebola https://t.co/thdKwOKwVG","en","316361820","2022-10-15T17:44:04.000Z","i can smell curfew musevenionevd ebola"
"60","1581340138692481024","There will be curfew in Mubende and Kassanda districts from 7pm to 6am - President Museveni. This is in a move to curb the Ebola outbreak","en","1123880454686412801","2022-10-15T17:44:03.000Z","there will be curfew in mubende and kassanda districts from pm to ampresident museveni this is in a move to curb the ebola outbreak"
"61","1581340121973985280","Uganda Update on Ebola: Two districts placed under lockdown. No movements in and outside Mubende and Kassanda districts .

The two are the epicentre of the recent Ebola outbreak. #Ebola #Ebola in Uganda","en","2919742983","2022-10-15T17:43:59.000Z","uganda update on ebola two districts placed under lockdown no movements in and outside mubende and kassanda districts   the two are the epicentre of the recent ebola outbreak ebola ebola in uganda"
"62","1581340094224420864","@JaneRuth_Aceng , @kaguta, @owere_usher @MinofHealthUG Happy that d earlier call to restrict movement to ebola highly affected areas is now instituted. Problem it comes in late when collateral damage is already raging. Nontheless thanks to HE the president. https://t.co/1vfwQLmhwa","en","1559812320506822656","2022-10-15T17:43:52.000Z","happy that d earlier call to restrict movement to ebola highly affected areas is now instituted problem it comes in late when collateral damage is already raging nontheless thanks to he the president"
"63","1581340064474226688","@KagutaMuseveni imposes lock down to districts of Kasanda and Mubende for 21 days and curfew from 7pm to 12am .with immediate effort as mechanism to stop the spread of ebola .","en","4703112794","2022-10-15T17:43:45.000Z","imposes lock down to districts of kasanda and mubende fordays and curfew from pm to am with immediate effo as mechanism to stop the spread of ebola"
"64","1581340009399189504","Presidential address on the Ebola Situation in Uganda. Pres.Museveni issues directives;
✅Movements into  and out of Mubende and Kassanda Districts  is prohibited.
✅Movement from Kassanda to Mubende &amp;vice versa is prohibited.","en","777168642903568388","2022-10-15T17:43:32.000Z","presidential address on the ebola situation in uganda presmuseveni issues directives movements intoand out of mubende and kassanda districtsis prohibited movement from kassanda to mubende ampvice versa is prohibited"
"65","1581340002814169089","JUST IN:President @KagutaMuseveni has banned movement to and from Mubende and Kasanda Districts due #Ebola outbreak. https://t.co/AZHN0XdzR3","en","1138463281050456065","2022-10-15T17:43:31.000Z","just inpresidenthas banned movement to and from mubende and kasanda districts due ebola outbreak"
"66","1581339996845637633","President Museveni: As I have told you many times, this disease (Ebola) is survivable, and to prove that, so far, 20 people have recovered from the Ebola virus.

#M7Address https://t.co/ei48VFJr5x","en","1059692462321623041","2022-10-15T17:43:29.000Z","president museveni as i have told you many times this disease ebola is survivable and to prove that so farpeople have recovered from the ebola virus  maddress"
"67","1581339989262012416","@KatePri14608408 $CEMI. Buy under .40 on Monday. Current market cap is $9M. Cash on hand $18M.

✅ Dual Covid/Flu Test
✅ Dual HIV-SYPHILIS Test
      $4 billion market.
✅  Developing Monkey POX Test
       With N.I.H. Guidance.
✅  Rapid Ebola Test
      
Next p.r. could triple the share price. https://t.co/3xc21bKrLU","en","50463387","2022-10-15T17:43:27.000Z","cemi buy underon monday current market cap is m cash on hand m  dual covidflu test  dual hivsyphilis test billion market  developing monkey pox test  with nih guidance  rapid ebola test   next pr could triple the share price"
"68","1581339983822000128","@DailyMonitor We may end up,falling in someone who wants to build his arcade from ebola","en","1580892800123535360","2022-10-15T17:43:26.000Z","we may end upfalling in someone who wants to build his arcade from ebola"
"69","1581339952117604354","President Museveni: Ebola, as of now, is highly infectious and deadly. It greatly affects the economy and tourism industry. If not adequately controlled, Ebola might spread passed Uganda.

#M7Address #NBSUpdates https://t.co/XkHgesgu98","en","344718893","2022-10-15T17:43:19.000Z","president museveni ebola as of now is highly infectious and deadly it greatly affects the economy and tourism industry if not adequately controlled ebola might spread passed uganda  maddress nbsupdates"
"70","1581339942440955905","President Museveni: As I have told you many times, this disease (Ebola) is survivable, and to prove that, so far, 20 people have recovered from the Ebola virus.

#M7Address https://t.co/niAlAKUA4O","en","1130437626337648640","2022-10-15T17:43:16.000Z","president museveni as i have told you many times this disease ebola is survivable and to prove that so farpeople have recovered from the ebola virus  maddress"
"71","1581339941027532807","It has been about 2 months since people started dying of Ebola quietly in their villages. The ones who cannot be advised are the ones spreading it recklessly. It is an easy disease to manage - President Museveni.
#M7Address #Musevenomics https://t.co/4iKa0Zo0Cl","en","2252508086","2022-10-15T17:43:16.000Z","it has been aboutmonths since people staed dying of ebola quietly in their villages the ones who cannot be advised are the ones spreading it recklessly it is an easy disease to managepresident museveni maddress musevenomics"
"72","1581339932211060737","Lockdown on Mubende and Kasanda Districts to prevent spread of Ebola and curfew from dust to dawn imposed in the two districts #M7Adress #Ebola https://t.co/gS17l2G1iO","en","402993662","2022-10-15T17:43:14.000Z","lockdown on mubende and kasanda districts to prevent spread of ebola and curfew from dust to dawn imposed in the two districts madress ebola"
